1 1:-1.125925 2:0.197729 3:1.361189 
1 1:0.967411 2:0.017242 3:0.795903 
1 1:-0.527829 2:-0.123137 3:1.643832 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:0.369315 2:-0.123137 3:0.634393 
1 1:-0.527829 2:-0.062975 3:1.886097 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-0.213536 
1 1:-1.125925 2:0.222796 3:0.149862 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:4.510638 
1 1:-1.125925 2:0.087431 3:0.472883 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:0.997791 
1 1:-1.125925 2:0.192715 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-0.627512 2:-0.088042 3:-0.819199 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-0.627512 2:-0.088042 3:-0.819199 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:10.536950 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:11.011423 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:0.217783 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:9.113678 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:0.715148 
1 1:-1.125925 2:0.117512 3:0.715148 
1 1:-1.125925 2:0.082418 3:5.479699 
1 1:1.864556 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:0.997791 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:0.369315 2:0.102472 3:3.016668 
1 1:0.668363 2:-0.123137 3:-0.496178 
1 1:3.758527 2:-0.123137 3:2.774403 
1 1:3.459479 2:0.027269 3:0.634393 
1 1:3.459479 2:0.107485 3:-0.173158 
1 1:-1.125925 2:0.839460 3:-1.222974 
1 1:6.150911 2:0.057350 3:3.178178 
1 1:-0.527829 2:-0.062975 3:1.886097 
1 1:-1.125925 2:0.508567 3:-1.222974 
1 1:6.150911 2:0.057350 3:1.724587 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:3.864597 
1 1:-1.125925 2:0.102472 3:0.594015 
1 1:-1.125925 2:0.087431 3:5.560454 
1 1:-1.125925 2:0.172661 3:-1.222974 
1 1:1.166777 2:-0.123137 3:0.674771 
1 1:-1.125925 2:-0.123137 3:0.634393 
1 1:-1.125925 2:0.047323 3:-1.222974 
1 1:0.070267 2:-0.002812 3:-0.738444 
1 1:5.453133 2:-0.123137 3:1.441944 
1 1:-1.125925 2:0.117512 3:0.715148 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:1.864556 2:-0.123137 3:1.240056 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:0.142580 3:0.917036 
1 1:-1.125925 2:0.097458 3:2.370628 
1 1:-1.125925 2:0.107485 3:0.634393 
1 1:-1.125925 2:-0.123137 3:0.715148 
1 1:-1.125925 2:0.348135 3:2.572515 
1 1:-1.125925 2:-0.123137 3:5.923852 
1 1:6.350277 2:-0.032893 3:0.270995 
1 1:-1.125925 2:0.082418 3:-0.415423 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-0.294291 
1 1:-1.125925 2:0.237837 3:1.684209 
1 1:-1.125925 2:-0.123137 3:3.945352 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:0.107485 3:0.634393 
1 1:-1.125925 2:-0.123137 3:0.311373 
1 1:-1.125925 2:0.272932 3:-1.222974 
1 1:-0.527829 2:-0.093056 3:0.674771 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:0.157621 3:3.299311 
1 1:3.559161 2:0.032282 3:0.674771 
1 1:4.755354 2:0.097458 3:-0.052025 
1 1:4.755354 2:0.097458 3:-0.052025 
1 1:3.459479 2:-0.123137 3:0.634393 
1 1:-1.125925 2:-0.123137 3:0.634393 
1 1:-1.125925 2:0.052336 3:1.603454 
1 1:-1.125925 2:0.092445 3:0.513260 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:11.234729 2:0.082418 3:3.783842 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:1.361189 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:1.361189 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:1.361189 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:-1.125925 2:-0.123137 3:1.845719 
1 1:-1.125925 2:-0.123137 3:-1.222974 
1 1:0.070267 2:0.759244 3:1.320811 
1 1:-1.125925 2:-0.123137 3:2.895536 
1 1:-0.627512 2:0.027269 3:0.392128 
1 1:-0.627512 2:0.027269 3:0.392128 
1 1:-1.125925 2:-0.123137 3:-1.222974 
